orth,pron_no_tones,pron_with_tones
ແລ້ງ,lɛːŋ,lɛːŋ˥˨
ສາຣັດ,saːrat,saː˩˧rat˧
ຈະຣະ,t͡ɕara,t͡ɕa˧˥ra˧
ແສງຄຳ,sɛːŋkʰam,sɛːŋ˩˧kʰam˧˥
ແດນ,dɛːn,dɛːn
ຄວາມອ່ອນແອ,kʰwaːmɔːnɛː,kʰwaːm˧˥ɔːn˧ɛː
ໂພທິ,pʰoːtʰi,pʰoː˧˥tʰi˧
ງູເຫົ່າ,ŋuːhao,ŋuː˧˥hao˧
ເງິ,ŋə,ŋə˧
ກະຈາ,kat͡ɕaː,kat͡ɕaː
ຢູ່ໄກ,juːkaj,juː˧kaj
ອຸບົນ,ubon,u˧˥bon
ຈັງຫວັດ,t͡ɕaŋwat,t͡ɕaŋwat˧˥
ຫມັນ,man,man˩˧
ປ້ອງ,pɔːŋ,pɔːŋ˥˨
ອູ້,uː,uː˥˨
ສົມດຸນ,somdun,som˩˧dun
ເລືອກ,lɯːə̯k,lɯːə̯k˥˨
໖,6,6
ຈຶ,t͡ɕɯ,t͡ɕɯ˧˥
ສະໃຈ,sat͡ɕaj,sa˧˥t͡ɕaj
ແມ່ນ,mɛːn,mɛːn˧
ປັດທະມະ,pattʰama,pat˧˥tʰa˧ma˧
ຫນ້າອົກ,naːok,naː˧˩ok˧˥
ຄົນຊ້າ,kʰonsaː,kʰon˧˥saː˥˨
ເບີດ,bəːt,bəːt˧˩
ອົ້ວ,uaː,uaː˥˨
ຄວາມຄຽດແຄ້ນ,kʰwaːmkʰiaːtkʰɛːn,kʰwaːm˧˥kʰiaːt˥˨kʰɛːn˥˨
ພຶ່ງ,pʰɯŋ,pʰɯŋ˧
ໂຄຈອນ,kʰoːt͡ɕɔːn,kʰoː˧˥t͡ɕɔːn
ຊະວະລິດ,sawalit,sa˧wa˧lit˧
ເງົາ,ŋao,ŋao˧˥
ເຄື່ອງແບບ,kʰɯːə̯ŋbɛːp,kʰɯːə̯ŋ˧bɛːp˧˩
ທາບທາມ,tʰaːptʰaːm,tʰaːp˥˨tʰaːm˧˥
ໂອ,t͡ɕː,t͡ɕː
ຕຸລາການ,tulaːkaːn,tu˧˥laː˧˥kaːn
ຄືບ,kʰɯːp,kʰɯːp˥˨
ຊ່າງເປັນ,saːŋpen,saːŋ˧pen
ກວັດ,kwat,kwat˧
ຕັດສະຮູ້,tatsahu,tat˧˥sa˧˥hu˥˨
ໂປ່,poː,poː˧
ຈ້າງ,t͡ɕaːŋ,t͡ɕaːŋ˥˨
ຫມາກເຂືອ,maːkkʰɯːə̯,maːk˧˩kʰɯːə̯˩˧
ຕົວຜູ້,tuaːpʰuː,tuaːpʰuː˧˩
ເລົ້າ,lao,lao˥˨
ກວນ,kuaːn,kuaːn
ຫືດ,hɯːt,hɯːt˧˩
ອັງສາ,aŋsaː,aŋsaː˩˧
ທ່ອນ,tʰɔːn,tʰɔːn˧
ປັດ,pat,pat˧˥
ເທວີ,tʰeːwiː,tʰeː˧˥wiː˧˥
ຢ່າງດີ,jaːŋdiː,jaːŋ˧diː
ວານິດ,waːnit,waː˧˥nit˧
ອັນຂາດ,ankʰaːt,ankʰaːt˧˩
ກັກ,kak,kak˧˥
ສຸຊົນ,suson,su˧˥son˧˥
ອາດຍາ,aːtɲaː,aːt˧˩ɲaː
ຝໍ່,fɔː,fɔː˧
ຂື່ນ,kʰɯːn,kʰɯːn˧
ແວ,wɛː,wɛː˧˥
ດັ່ງ,daŋ,daŋ˧
ຕິດຕາມ,tittaːm,tit˧˥taːm
ເມືອງ,mɯːə̯ŋ,mɯːə̯ŋ˧˥
ສອດ,sɔːt,sɔːt˧˩
ພະບາດ,pʰabaːt,pʰa˧baːt˧˩
ກຸມມານ,kummaːn,kummaːn˧˥
ອະນຸກັມມະການ,anukammakaːn,a˧˥nu˧kamma˧kaːn
ອັດ,at,at˧˥
ຕາຂາວ,taːkʰaːo,taːkʰaːo˩˧
ໂທ,tʰoː,tʰoː˧˥
ຢອງ,jɔːŋ,jɔːŋ
ອະວິຊາ,awisaː,a˧˥wi˧saː˧˥
ຄວາມສຸພາບ,kʰwaːmsupʰaːp,kʰwaːm˧˥su˧˥pʰaːp˥˨
ກິ,ki,ki˧˥
ຜິດ,pʰit,pʰit˧˥
ຫລົ້ມ,lom,lom˧˩
ຄວານ,kʰwaːn,kʰwaːn˧˥
ກັບຕັນ,kaptan,kap˧˥tan
ບຸກຄະລິກລັກສະນະ,bukkʰaliklaksana,buk˧˥kʰa˧lik˧lak˧sa˧˥na˧
ຕອມ,tɔːm,tɔːm
ຟິມ,fim,fim˧˥
ສັດສາ,satsaː,sat˧˥saː˩˧
ເບ,beː,beː
ວັດຊະຣະ,watsara,wat˧sa˧ra˧
ອັງ,aŋ,aŋ
ງ່ອນ,ŋɔːn,ŋɔːn˧
ການປະກວດ,kaːnpakuaːt,kaːnpa˧˥kuaːt˧˩
ຄວາມອົບອຸ່ນ,kʰwaːmopun,kʰwaːm˧˥op˧˥un˧
ສະຖິດ,satʰit,sa˧˥tʰit˧˥
ຫໍ່,hɔː,hɔː˧
ຫຍັບ,ɲap,ɲap˧˥
ນາຄິນ,naːkʰin,naː˧˥kʰin˧˥
ປາໃສ,paːsaj,paːsaj˩˧
ບູຊາ,buːsaː,buːsaː˧˥
ຫ່າ,haː,haː˧
ທະສະ,tʰasa,tʰa˧sa˧˥
ຫມາກແຕງ,maːktɛːŋ,maːk˧˩tɛːŋ
ຜູ້ກວດ,pʰuːkuaːt,pʰuː˧˩kuaːt˧˩
ສາມານ,saːmaːn,saː˧˥maːn˧˥
ອອກແຮງ,ɔːkhɛːŋ,ɔːk˧˩hɛːŋ˧˥
ການລົງໂທດ,kaːnloŋtʰoːt,kaːnloŋ˧˥tʰoːt˥˨
ບັນເລງ,banleːŋ,banleːŋ˧˥
ລຳໂພງ,lampʰoːŋ,lam˧˥pʰoːŋ˧˥
ນ້ຳນົມ,namnom,nam˥˨nom˧˥
ແຕ່ເຖິງຢ່າງໃດກໍ່ຕາມ,tɛːtʰəŋjaːŋdajkɔːtaːm,tɛː˧tʰəŋ˩˧jaːŋ˧dajkɔː˧taːm
ມີຢູ່,mijuː,mi˧˥juː˧
ເສບ,seːp,seːp˧˩
ຄົນເຂົ້າເມືອງ,kʰonkʰaomɯːə̯ŋ,kʰon˧˥kʰao˧˩mɯːə̯ŋ˧˥
ຊາຕະ,saːta,saː˧˥ta
ຕັ່ນ,tan,tan˧
ໃຫມ່,maj,maj˧
ບຳນານ,bamnaːn,bamnaːn˧˥
ການທີ່,kaːntʰiː,kaːntʰiː˧
ທັກສິນ,tʰaksinaːnupatʰaːn,tʰak˧si˧˥naː˧˥nu˧pa˧˥tʰaːn˧˥
ສຳຣານ,samhaːn,sam˩˧haːn˧˥
ຂຶ້ນເປັນ,kʰɯnpen,kʰɯn˧˩pen
ມຸກດາຫານ,mukdaːhaːn,muk˧daːhaːn˩˧
ຕຽງ,tiaːŋ,tiaːŋ
ປະຊວນ,pasuaːn,pa˧˥suaːn˧˥
ສະເກັດ,saket,sa˧˥ket˧˥
ກະລຳປີ,kalampiː,ka˧˥lam˧˥piː
ຜູ້ເປັນ,pʰuːpen,pʰuː˧˩pen
ຢູ່ໃສ,juːsaj,juː˧saj˩˧
ພົມມະຈັນ,pʰommat͡ɕan,pʰom˧˥ma˧t͡ɕan
ກັງຫັນ,kaŋhan,kaŋhan˩˧
ຮອບຊິງຊະນະເລີດ,hɔːpsiŋsanaləːt,hɔːp˥˨siŋ˧˥sa˧na˧ləːt˥˨
ຄໍ້,kʰɔː,kʰɔː˥˨
ບໍ່ຂາດ,bɔːkʰaːt,bɔː˧kʰaːt˧˩
ປະເທດ,patʰeːt,pa˧˥tʰeːt˥˨
ຕໍ່ແຮງ,tɔːhɛːŋ,tɔː˧hɛːŋ˧˥
ຍື່ງ,ɲɯːŋ,ɲɯːŋ˧
ຄະ,kʰa,kʰa˧
ຝົນ,fon,fon˩˧
ມີນາມ,miːnaːm,miː˧˥naːm˧˥
ກຸຫລາບ,kulaːp,ku˧˥laːp˧˩
ລະອອງ,laɔːŋ,la˧ɔːŋ
ປີນ,piːn,piːn
ປາຖນາ,paːttʰanaː,paːt˧˩tʰa˧˥naː˩˧
ອັນລະ,anla,anla˧
ຫ້ວງ,huaːŋ,huaːŋ˧˩
ເຢາະ,jɔ,jɔ˧˥
ບໍ່ສົນໃຈ,bɔːsont͡ɕaj,bɔː˧son˩˧t͡ɕaj
ອານາ,aːnaː,aːnaː˧˥
ຄວາມທົນທານ,kʰwaːmtʰontʰaːn,kʰwaːm˧˥tʰon˧˥tʰaːn˧˥
ລົກ,lok,lok˧
ໄມ້ແດງ,majdɛːŋ,maj˥˨dɛːŋ
ຕັບ,tap,tap˧˥
ໄຂ່,kʰaj,kʰaj˧
ພະຍາ,pʰaɲaː,pʰa˧ɲaː˧˥
ພະເນດ,pʰaneːt,pʰa˧neːt˥˨
ອິນໂດນີເຊັຽ,indoːniːsiaː,indoːniː˧˥siaː˧˥
ຊຳນິ,samni,sam˧˥ni˧
ວິທຍຸ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ຄູ່ມື,kʰuːmɯː,kʰuː˧mɯː˧˥
ຖັງ,tʰaŋ,tʰaŋ˩˧
ອະທິບໍດີ,atʰibɔdiː,a˧˥tʰi˧bɔ˧diː
ບ່ອນ,bɔːn,bɔːn˧
ຫົວບ້ານ,huaːbaːn,huaː˧˩baːn˥˨
ສາຕ,suaːt,suaːt˧˩
ຄວາມມັກ,kʰwaːmmak,kʰwaːm˧˥mak˧
ໂຫ່,hoː,hoː˧
ແຈ,t͡ɕɛː,t͡ɕɛː
ກວ້າງ,kwaːŋ,kwaːŋ˥˨
ງ່າມ,ŋaːm,ŋaːm˧
ຮັບໃຫ້,haphaj,hap˧haj˧˩
ເພສ,pʰuaːŋ,pʰuaːŋ˧
ກີດ,kiːt,kiːt˧˩
ລ້ອມ,lɔːm,lɔːm˥˨
ພະຄະ,pʰakʰa,pʰa˧kʰa˧
ຣະບົມ,rabom,ra˧bom
ຄິດກັນ,kʰitkan,kʰit˧kan
ຂອງໄຫລ,kʰɔːŋlaj,kʰɔːŋ˩˧laj˩˧
ເຂົ້າໄປໄດ້,kʰaopajdaj,kʰao˧˩pajdaj˥˨
ອົບອຸ່ນ,opun,op˧˥un˧
ອິນເດັຽ,indiaː,indiaː
ຮ່ວມ,huaːm,huaːm˧
ມຸນິ,muni,mu˧ni˧˥
ຈຸລ,t͡ɕuaːm,t͡ɕuaːm˥˨
ເຂົ້າມັນ,kʰaoman,kʰao˧˩man˧˥
ຄິ້ວ,kʰiw,kʰiw˥˨
ຄຳຫມັ້ນ,kʰamman,kʰam˧˥man˧˩
ການລະເວັ້ນ,kaːnlawen,kaːnla˧wen˥˨
ມໍຣະກົດ,mɔːrakot,mɔː˧˥ra˧kot˧˥
ເປັນຈຳນວນ,pent͡ɕamnuaːn,pent͡ɕamnuaːn˧˥
ພາທີ,pʰaːtʰiː,pʰaː˧˥tʰiː˧˥
ຕີລາຄາ,tiːlaːkʰaː,tiːlaː˧˥kʰaː˧˥
ແນວຄວາມຄິດ,nɛːwkʰwaːmkʰit,nɛːw˧˥kʰwaːm˧˥kʰit˧
ອິສ,ɯːə̯ŋsoppet,ɯːə̯ŋ˥˨sop˧˥pet˧˥
ນະມັດສະການ,namatsakaːn,na˧mat˧sa˧˥kaːn
ປົກ,pok,pok˧˥
ອ່ອນ,ɔːn,ɔːn˧
ກະແຕະ,katɛ,ka˧˥tɛ˧˥
ເທິງ,tʰəŋ,tʰəŋ˧˥
ໂທດ,tʰoːt,tʰoːt˥˨
ຕາງ,taːŋ,taːŋ
ສະກົນ,sakon,sa˧˥kon
ສນານ,sanaːn,sa˧˥naːn˩˧
ຣິມ,riːm,riːm˩˧
ສັກສິດ,saksit,sak˧˥sit˧˥
ຄຸ່ມ,kʰum,kʰum˧
ຢູ່ຍາມ,juːɲaːm,juː˧ɲaːm˧˥
ອັນວ່າ,anwaː,anwaː˧
ຈອງ,t͡ɕɔːŋ,t͡ɕɔːŋ
ກຸນທົນ,kuntʰon,kuntʰon˧˥
ຖືກປາກ,tʰɯːkpaːk,tʰɯːk˧˩paːk˧˩
ຕຸບ,tup,tup˧˥
ກວາງຕຸ້ງ,kwaːŋtuŋ,kwaːŋtuŋ˥˨
ມອມ,mɔːm,mɔːm˧˥
ສົມພໍ,sompʰɔː,som˩˧pʰɔː˧˥
ເປັນການ,penkaːn,penkaːn
ຄ່ອງ,kʰɔːŋ,kʰɔːŋ˧
ບັງອອນ,baŋɔːn,baŋɔːn
ໂງ່,ŋoː,ŋoː˧
ໃຜ,pʰaj,pʰaj˩˧
ຄົນ,kʰon,kʰon˧˥
ບໍ່ຢຳເກງ,bɔːjamkeːŋ,bɔː˧jamkeːŋ
ພິລຸດ,pʰilut,pʰi˧lut˧
ພໍໃຫ້,pʰɔːhaj,pʰɔː˧˥haj˧˩
ຄວາມອິດສະຣະ,kʰwaːmitsara,kʰwaːm˧˥it˧˥sa˧˥ra˧
ເປີ້ນ,pəːn,pəːn˥˨
ພຸດ,pʰut,pʰut˧
ເປືອກ,pɯːə̯k,pɯːə̯k˧˩
ຕູ້,tuː,tuː˥˨
ຕົວລະຄອນ,tuaːlakʰɔːn,tuaːla˧kʰɔːn˧˥
ນຽນ,niaːn,niaːn˧˥
ປັງ,paŋ,paŋ
ຄິດດອກເບັ້ຽ,kʰitdɔːkbiaː,kʰit˧dɔːk˧˩biaː˥˨
ຂຽງ,kʰiaːŋ,kʰiaːŋ˩˧
ຂໍ,kʰɔː,kʰɔː˩˧
ຊວ້ານ,swaːn,swaːn˥˨
ທໍ້ແທ້,tʰɔːtʰɛː,tʰɔː˥˨tʰɛː˥˨
ກະສຽນ,kasiaːn,ka˧˥siaːn˩˧
ເສັງ,seŋ,seŋ˩˧
ເລ່ງ,leːŋ,leːŋ˧
ຝາງ,faːŋ,faːŋ˩˧
ຄວາມເຂົ້າໃຈ,kʰwaːmkʰaot͡ɕaj,kʰwaːm˧˥kʰao˧˩t͡ɕaj
ເດືອນ,dɯːə̯n,dɯːə̯n
ຍ່າ,ɲa,ɲa˧
ໄຕ່ສວນ,tajsuaːn,taj˧suaːn˩˧
ສນັ້ນ,sanan,sa˧˥nan˥˨
ສັມພາດ,sampʰaːt,sam˩˧pʰaːt˥˨
ພຸກ,pʰuk,pʰuk˧
ເຈົ້າທຸກ,t͡ɕaotʰuk,t͡ɕao˥˨tʰuk˧
ວາທີ,waːtʰiː,waː˧˥tʰiː˧˥
ອະທິກະມາດ,atʰikamaːt,a˧˥tʰi˧ka˧˥maːt˥˨
ອັບເສົາ,apsao,ap˧˥sao˩˧
ຄວາມເລິກ,kʰwaːmlək,kʰwaːm˧˥lək˧
ກຸ້ມ,kum,kum˥˨
ງົງ,ŋoŋ,ŋoŋ˧˥
ອາກາດ,aːkaːt,aːkaːt˧˩
ໄງ້,ŋaj,ŋaj˥˨
ປາທາ,paːtʰaː,paːtʰaː˧˥
ຫລີກ,liːk,liːk˧˩
ໂວ,woː,woː˧˥
ຄັນແຂ້ວ,kʰankʰɛːw,kʰan˧˥kʰɛːw˧˩
ວີສະ,wiːsa,wiː˧˥sa˧˥
ເຮິ,hə,hə˧
ໂປ່ມ,poːm,poːm˧
ສົງຄາມ,soŋkʰaːm,soŋ˩˧kʰaːm˧˥
ຜະສານ,pʰasaːn,pʰa˧˥saːn˩˧
ຈິ່ງ,t͡ɕiŋ,t͡ɕiŋ˧
ມິນ,min,min˧˥
ບຸດ,but,but˧˥
ຟ່າງ,faːŋ,faːŋ˧
ກະແພງ,kapʰɛːŋ,ka˧˥pʰɛːŋ˧˥
ສັນຕິພາບ,santipʰaːp,san˩˧ti˧˥pʰaːp˥˨
ວິ,wi,wi˧
ມະນຸດ,manut,ma˧nut˧
ງັນ,ŋan,ŋan˧˥
ຍໍ່,ɲɔː,ɲɔː˧
ວັດທະນາຖາວອນ,wattʰanaːtʰaːwɔːn,wat˧tʰa˧naː˧˥tʰaː˩˧wɔːn˧˥
ກະເບົາ,kabao,ka˧˥bao
ລືສີ,lɯːsiː,lɯː˧˥siː˩˧
ລານ,laːn,laːn˧˥
ເຝົ້າ,fao,fao˧˩
ປັດຕິ,patti,pat˧˥ti˧˥
ປີ້ງ,piːŋ,piːŋ˥˨
ການຫລວງ,kaːnluaːŋ,kaːnluaːŋ˩˧
ປ້ານ,paːn,paːn˥˨
ຢ່າງແຈ່ມແຈ້ງ,jaːŋt͡ɕɛːmt͡ɕɛːŋ,jaːŋ˧t͡ɕɛːm˧t͡ɕɛːŋ˥˨
ຜູ້ສົມຮູ້ຮ່ວມຄິດ,pʰuːsomhuːhuaːmkʰit,pʰuː˧˩som˧˩huː˥˨huaːm˧kʰit˧
ບໍ່ຢ້ານ,bɔːjaːn,bɔː˧jaːn˥˨
ມື່ນ,mɯːn,mɯːn˧
ປະເວນີ,paweːniː,pa˧˥weː˧˥niː˧˥
ຄຳເວົ້າ,kʰamwao,kʰam˧˥wao˥˨
ພິຫານ,pʰihaːn,pʰi˧haːn˩˧
ປັກປັນເຂດແດນ,pakpankʰeːtdɛːn,pak˧˥pankʰeːt˧˩dɛːn
ອວນ,uaːn,uaːn
ນວມ,nuaːm,nuaːm˧˥
ຕາມນ້ຳ,taːmnam,taːmnam˥˨
ນິເວດ,niweːt,ni˧weːt˥˨
ຕໍ່ວ່າ,tɔːwaː,tɔː˧waː˧
ພັດທະນາ,pʰattʰanaː,pʰat˧tʰa˧naː˧˥
ກ້ອງ,kɔːŋ,kɔːŋ˥˨
ເຜົ່າ,pʰao,pʰao˧
ວິທຍາ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ປະກອນ,pakɔːn,pa˧˥kɔːn
ວັດຈະນະ,watt͡ɕana,wat˧t͡ɕa˧˥na˧
ອະນຸຊາ,anusaː,a˧˥nu˧saː˧˥
ນັນທະ,nantʰa,nan˧˥tʰa˧
ຈີບ,t͡ɕiːp,t͡ɕiːp˧˩
ຄູ່,kʰuː,kʰuː˧
ສ້ວງ,suaːŋ,suaːŋ˧˩
ອະ,a,a˧˥
ມີຄວາມຜິດ,miːkʰwaːmpʰit,miː˧˥kʰwaːm˧˥pʰit˧˥
ບໍ່ລຶ້ງ,bɔːlɯŋ,bɔː˧lɯŋ˥˨
ຄິດຍາກ,kʰitɲaːk,kʰit˧ɲaːk˥˨
ຈອກ,t͡ɕɔːk,t͡ɕɔːk˧˩
ອະນຸສາວະຣີ,anusaːwariː,a˧˥nu˧saː˩˧wa˧riː˧˥
ຜັງ,pʰaŋ,pʰaŋ˩˧
ລຽນ,liaːn,liaːn˧˥
ເປັນດອກ,pendɔːk,pendɔːk˧˩
ຢ່າ,jaː,jaː˧
ຕິດພັນ,titpʰan,tit˧˥pʰan˧˥
ກະຈົກ,kat͡ɕok,ka˧˥t͡ɕok˧˥
ອັຕ,uaːt,uaːt˧˩
ລຽບລຽງ,liaːpliaːŋ,liaːp˥˨liaːŋ˧˥
ແດດ,dɛːt,dɛːt˧˩
ຂຶ້ນສານ,kʰɯnsaːn,kʰɯn˧˩saːn˩˧
ນ້ຳກາມ,namkaːm,nam˥˨kaːm
ມາໄລ,maːlaj,maː˧˥laj˧˥
ຄຸກ,tʰuk,tʰuk˧
ສັນຍະລັກ,sanɲalak,san˩˧ɲa˧lak˧
ເຂົ້າເປັນສະມາຊິກ,kʰaopensamaːsik,kʰao˧˩pensa˧˥maː˧˥sik˧
ຫວາ,wa,wa˧˥
ຫງອກ,ŋɔːk,ŋɔːk˧˩
ດາບົດ,daːbot,daːbot˧˥
ມັງດາ,maŋdaː,maŋ˧˥daː
ອະນຸພັນ,anupʰan,a˧˥nu˧pʰan˧˥
ຄຳກ່າວ,kʰamkaːo,kʰam˧˥kaːo˧
ບອບ,bɔːp,bɔːp˧˩
ຫ້າ,haː,haː˧˩
ທວນໄຟ,tʰuaːnfaj,tʰuaːn˧˥faj˧˥
ກຳຫນົດ,kamnat,kamnat˧˥
ມິຖຸນາ,mitʰunaː,mi˧tʰu˧˥naː˧˥
ເມັດ,met,met˧
ຈ້ວງ,t͡ɕuaːŋ,t͡ɕuaːŋ˥˨
ລິຂິດ,likʰit,li˧kʰit˧˥
ຊົດ,sot,sot˧
ເຫັນ,hen,hen˩˧
ເຂັມ,kʰem,kʰem˩˧
ຂ້າອອກ,kʰaːɔːk,kʰaː˧˩ɔːk˧˩
ການທູດ,kaːntʰuːt,kaːntʰuːt˥˨
ອີກ,iːk,iːk˧˩
ມີໂອກາດ,miːoːkaːt,miː˧˥oːkaːt˧˩
ດ່ຽວ,diaːw,diaːw
ຊັນ,san,san˧˥
ສະເມັກ,samek,sa˧˥mek˧
ຄົນຊັ້ນກາງ,kʰonsankaːŋ,kʰon˧˥san˥˨kaːŋ
ຄະດີ,kʰadiː,kʰa˧diː
ໂດ,doː,doː
ງຽບ,ŋiaːp,ŋiaːp˥˨
ຄົວ,kʰuaː,kʰuaː˧˥
ເກັດ,ket,ket˧˥
ບົວເງິນ,buaːŋən,buaːŋən˧˥
ຕ່າວ,taːo,taːo˧
ມະຫາເສນາ,mahaːseːnaː,ma˧haː˩˧seː˩˧naː˧˥
ນອນໃຈ,nɔːnt͡ɕaj,nɔːn˧˥t͡ɕaj
ການວິເຄາະ,kaːnwikʰɔ,kaːnwi˧kʰɔ˧
ພັກຂະ,pʰakkʰa,pʰak˧kʰa˧˥
ຢົກ,jok,jok˧˥
ສິລາ,silaː,si˧˥laː˧˥
ຖານ,tʰaːn,tʰaːn˩˧
ເບັດ,bet,bet˧˥
ອາຣະຍະ,aːraɲa,aːra˧ɲa˧
ຫົວສູງ,huaːsuːŋ,huaː˩˧suːŋ˩˧
ຕັນຕິ,tanti,tanti˧˥
ແມ່ເຫລັກ,mɛːlek,mɛː˧lek˧˥
ຄວາມໂລບ,kʰwaːmloːp,kʰwaːm˧˥loːp˥˨
ກ້ານ,kaːn,kaːn˥˨
ກັນຊາ,kansaː,kansaː˧˥
ໂດນ,doːn,doːn
ຖາມ,tʰaːm,tʰaːm˩˧
ທໍຣະ,tʰɔːra,tʰɔː˧˥ra˧
ລ້າງບາບ,laːŋbaːp,laːŋ˥˨baːp˧˩
ສົ່ງອາວຸດ,soŋaːwut,soŋ˧aːwut˧
ອິດທິ,ittʰi,it˧˥tʰi˧
ອຸ່ມ,um,um˧
ມາຄະ,maːkʰa,maː˧˥kʰa˧
ຖົງ,tʰoŋ,tʰoŋ˩˧
ກຳ,kam,kam
ກຸ່ນໆ,kunkun,kun˧kun˧
ພຸງ,pʰuŋ,pʰuŋ˧˥
ຫລື,lɯː,lɯː˥˨
ອີ,iː,iː
ສາວະກະ,saːwaka,saː˩˧wa˧ka˧˥
ປະຕິການ,patikaːn,pa˧˥ti˧˥kaːn
ສັງກະສີ,saŋkasiː,saŋ˩˧ka˧˥siː˩˧
ສຳຣອງ,samrɔːŋ,sam˩˧rɔːŋ˧˥
ຄວງ,kʰuaːŋ,kʰuaːŋ˧˥
ຕ໊ອກ,tɔːk,tɔːk˧˩
ມອດ,mɔːt,mɔːt˥˨
ເຟັນ,fen,fen˧˥
ທົນນ້ຳ,tʰonnam,tʰon˧˥nam˥˨
ເປັນ,pen,pen
ຂົ່ມ,kʰom,kʰom˧
ບອກ,bɔːk,bɔːk˧˩
ຫນ້າຮັກ,naːhak,naː˧˩hak˧
ກະຖັງ,katʰaŋ,ka˧˥tʰaŋ˩˧
ເຖຣະ,tʰeːra,tʰeː˩˧ra˧
ດຶງ,dɯŋ,dɯŋ
ໂລ,loː,loː˧˥
ມ້ອນ,mɔːn,mɔːn˥˨
ແວວ,wɛːw,wɛːw˧˥
ທະນົງ,tʰanoŋ,tʰa˧noŋ˧˥
ຕົວຕໍ່ຕົວ,tuaːtɔːtuaː,tuaːtɔː˧tuaː
ຫຍ້ຳ,ɲam,ɲam˧˩
ບັງອາດ,baŋaːt,baŋaːt˧˩
ຍັດ,ɲat,ɲat˧
ງຳ,ŋam,ŋam˧˥
ລົງທຶນ,loŋtʰɯn,loŋ˧˥tʰɯn˧˥
ໃຫ້ພອນ,hajpʰɔːn,haj˧˩pʰɔːn˧˥
ທີບ,tʰiːp,tʰiːp˥˨
ອະນິດຈາ,anitt͡ɕaː,a˧˥nit˧t͡ɕaː
ເທວາ,tʰeːwaː,tʰeː˧˥waː˧˥
ສົມສັກສີ,somsaksiː,som˩˧sak˧˥siː˩˧
ບໍ່ມີ,bɔːmiː,bɔː˧miː˧˥
ຕົມ,tom,tom
ແມ່ນ້ຳ,mɛːnam,mɛː˧nam˥˨
ມ່ອນ,mɔːn,mɔːn˧
ຕຳນານ,tamnaːn,tamnaːn˧˥
ວັຍ,wiaːŋ,wiaːŋ˧
ໄພຈິດ,pʰajt͡ɕit,pʰaj˧˥t͡ɕit˧˥
ສັປ,suaːp,suaːp˧˩
ບໍ່ງໍ້,bɔːŋɔː,bɔː˧ŋɔː˥˨
ເກສອນ,keːsɔːn,keːsɔːn˩˧
ຖົກ,tʰok,tʰok˧˥
ໃຫ້ທ່າ,hajtʰaː,haj˧˩tʰaː˧
ອົບ,op,op˧˥
ສັງ,saŋ,saŋ˩˧
ພະຜູ້ເປັນເຈົ້າ,pʰapʰuːpent͡ɕao,pʰa˧pʰuː˧˩pent͡ɕao˥˨
ອັນທະ,antʰa,antʰa˧
ພັດສະດາ,pʰatsadaː,pʰat˧sa˧˥daː
ກ່ຽວ,kiaːw,kiaːw˧
ອະຣະຫັນ,arahan,a˧˥ra˧han˩˧
ຈັກຂຸ,t͡ɕakkʰu,t͡ɕak˧˥kʰu˧˥
ຄັນ,kʰan,kʰan˧˥
ເປັນອົງການ,penoŋkaːn,penoŋkaːn
ເຂົ້າ,kʰao,kʰao˧˩
ລູກຍ່າງ,luːkɲaːŋ,luːk˥˨ɲaːŋ˧
ຄົງຄາ,kʰoŋkʰaː,kʰoŋ˧˥kʰaː˧˥
ຊາບ,saːp,saːp˥˨
ຜ້ານກາງ,pʰaːnkaːŋ,pʰaːn˧˩kaːŋ
ເຊີ່ນ,səːn,səːn˧
ຄວາມໂງ່,kʰwaːmŋoː,kʰwaːm˧˥ŋoː˧
ກະທົງ,katʰoŋ,ka˧˥tʰoŋ˧˥
ຄວາມຮູ້,kʰwaːmhuː,kʰwaːm˧˥huː˥˨
ແຫ່,hɛː,hɛː˧
ຕົບຕີ,toptiː,top˧˥tiː
ຕຣາ,tapʰoːn,ta˧˥pʰoːn˧˥
ໃນຣະຫວ່າງ,najrawaːŋ,naj˧˥ra˧waːŋ˧
ປາກກາ,paːkkaː,paːk˧˩kaː
ອື່ນ,ɯːn,ɯːn˧
ກົດ,kot,kot˧˥
ຄ້ຳຟ້າ,kʰamfaː,kʰam˥˨faː˥˨
ໂສມ,soːm,soːm˩˧
ບັ່ນ,ban,ban˧
ປັ່ນປ່ວນ,panpuaːn,pan˧puaːn˧
ໂຄ້ງ,kʰoːŋ,kʰoːŋ˥˨
ນິດຕະຍະສານ,nittaɲasaːnlaːjpiː,nit˧ta˧˥ɲa˧saːn˩˧laːj˧˥piː
ທາບ,tʰaːp,tʰaːp˥˨
ເລົາ,lao,lao˧˥
ຈອມປອມ,t͡ɕɔːmpɔːm,t͡ɕɔːmpɔːm
ຄວາມຫວາດຫວັ່ນ,kʰwaːmwaːtwan,kʰwaːm˧˥waːt˧˩wan˧
ມືດີ,mɯːdiː,mɯː˧˥diː
ເຊືອມ,sɯːə̯m,sɯːə̯m˧˥
ຈຳວັດ,t͡ɕamwat,t͡ɕamwat˧
ຖືຄອງ,tʰɯːkʰɔːŋ,tʰɯː˩˧kʰɔːŋ˧˥
